dataset,attr_method,metric,model,itr_no,comp,suff
mimic_iii,winIT,auc,SegRNN,3,0.708,0.855
mimic_iii,winIT,auc,iTransformer,1,0.535,0.418
mimic_iii,winIT,auc,iTransformer,2,0.696,0.57
mimic_iii,winIT,auc,iTransformer,3,0.576,0.472
mimic_iii,tsr,auc,DLinear,1,0.228,0.121
mimic_iii,tsr,auc,DLinear,2,0.273,0.137
mimic_iii,tsr,auc,DLinear,3,0.104,0.054
mimic_iii,tsr,auc,MICN,1,0.076,0.039
mimic_iii,tsr,auc,MICN,2,0.085,0.044
mimic_iii,tsr,auc,MICN,3,0.144,0.074
mimic_iii,tsr,auc,SegRNN,1,0.23,0.152
mimic_iii,tsr,auc,SegRNN,2,0.194,0.119
mimic_iii,tsr,auc,SegRNN,3,0.193,0.113
mimic_iii,tsr,auc,iTransformer,1,0.175,0.106
mimic_iii,tsr,auc,iTransformer,2,0.257,0.124
mimic_iii,tsr,auc,iTransformer,3,0.082,0.047
mimic_iii,gatemask,auc,DLinear,1,0.322,0.391
mimic_iii,gatemask,auc,DLinear,2,0.346,0.453
mimic_iii,gatemask,auc,DLinear,3,0.57,0.702
mimic_iii,gatemask,auc,MICN,1,0.406,0.392
mimic_iii,gatemask,auc,MICN,2,0.543,0.498
mimic_iii,gatemask,auc,MICN,3,0.745,0.756
mimic_iii,gatemask,auc,SegRNN,1,0.782,0.56
mimic_iii,gatemask,auc,SegRNN,2,0.601,0.425
mimic_iii,gatemask,auc,SegRNN,3,0.849,0.584
mimic_iii,gatemask,auc,iTransformer,1,0.468,0.431
mimic_iii,gatemask,auc,iTransformer,2,0.678,0.624
mimic_iii,gatemask,auc,iTransformer,3,0.538,0.535
mimic_iii,wtsr,auc,DLinear,1,0.339,0.441
mimic_iii,wtsr,auc,DLinear,2,0.376,0.523
mimic_iii,wtsr,auc,DLinear,3,0.6,0.713
mimic_iii,wtsr,auc,MICN,1,0.364,0.38
mimic_iii,wtsr,auc,MICN,2,0.453,0.56
mimic_iii,wtsr,auc,MICN,3,0.686,0.798
mimic_iii,wtsr,auc,SegRNN,1,0.455,0.703
mimic_iii,wtsr,auc,SegRNN,2,0.385,0.545
mimic_iii,wtsr,auc,SegRNN,3,0.591,0.795
mimic_iii,wtsr,auc,iTransformer,1,0.453,0.442
mimic_iii,wtsr,auc,iTransformer,2,0.598,0.656
mimic_iii,wtsr,auc,iTransformer,3,0.52,0.499
